FIRE_NAME,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_YEAR,START_DATE,END_DATE,STATE,COUNTY,OWNER_DESCR,STAT_CAUSE_DESCR
COTTONWOOD,40.1525,-120.5,560,2004,5/4/2004,5/10/2004,CA,,USFS,Debris Burning
SCHOOL INC               ,33.47805555,-116.9019444,377,2004,5/3/2004,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
CERRITO,33.75,-117.4175,16460,2004,5/3/2004,5/8/2004,CA,Riverside,BLM,Arson
CACHUMA,34.71972222,-119.9113889,1127,2004,5/3/2004,5/7/2004,CA,,STATE OR PRIVATE,Equipment Use
EAGLE,33.46666667,-117.0677778,8945,2004,5/2/2004,5/8/2004,CA,,MISSING/NOT SPECIFIED,Miscellaneous
GAFFORD                  ,33.63388888,-117.2669444,450,2004,5/2/2004,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
INDIA,33.369167,-117.3175,2040,2004,5/2/2004,5/7/2004,CA,San Diego,MISSING/NOT SPECIFIED,Missing/Undefined
PLEASURE,33.49194444,-116.8233333,2300,2004,4/25/2004,4/26/2004,CA,,MISSING/NOT SPECIFIED,Miscellaneous
UPPER SANTA ANA BURN ESCAPE,34.201944,-116.885278,350,2004,3/25/2004,3/30/2004,CA,SAN BERNARDINO,MISSING/NOT SPECIFIED,Missing/Undefined
SAND,41.66638889,-121.4011111,332,2003,11/28/2003,11/29/2003,CA,,USFS,Debris Burning
WHITMORE                 ,40.64194444,-121.8280556,1200,2003,10/27/2003,,CA,,MISSING/NOT SPECIFIED,Campfire
PARADISE,33.25555556,-116.9527778,56427,2003,10/26/2003,10/26/2003,CA,,OTHER FEDERAL,Arson
TUK,41.2229,-123.9726,315,2003,10/26/2003,11/1/2003,CA,,NPS,Debris Burning
OTAY,32.5667,-116.7675,47921,2003,10/26/2003,10/30/2003,CA,San Diego,BLM,Miscellaneous
MOUNTAIN,33.617222,-116.983889,10331,2003,10/26/2003,11/2/2003,CA,Riverside,STATE,Missing/Undefined
SIMI INCIDENT,34.384722,-118.6675,108204,2003,10/25/2003,11/11/2003,CA,Ventura ,COUNTY,Missing/Undefined
PADUA,34.18583333,-117.6822222,10446,2003,10/25/2003,11/3/2003,CA,,STATE OR PRIVATE,Arson
OLD,34.19694444,-117.2761111,91281,2003,10/25/2003,11/15/2003,CA,,STATE OR PRIVATE,Arson
CEDAR,32.98555556,-116.7275,280059,2003,10/25/2003,11/4/2003,CA,,USFS,Campfire
VERDALE,34.433333,-118.675833,8650,2003,10/24/2003,10/29/2003,CA,Los Angeles,COUNTY,Missing/Undefined
PIRU,34.4875,-118.7588889,63720,2003,10/23/2003,10/31/2003,CA,,STATE OR PRIVATE,Equipment Use
PASS,33.985556,-117.267222,2857,2003,10/21/2003,,CA,Riverside,STATE,Missing/Undefined
ROBLAR 2,33.3692,-117.3517,8592,2003,10/21/2003,10/28/2003,CA,San Diego,OTHER FEDERAL,Equipment Use
GRAND PRIX,34.16833333,-117.4813889,59788,2003,10/21/2003,11/14/2003,CA,,STATE OR PRIVATE,Arson
GILLAM,35.15194444,-120.0083333,460,2003,10/16/2003,10/17/2003,CA,,USFS,Miscellaneous
SECRET,40.6249,-120.2508,1195,2003,10/15/2003,10/19/2003,CA,Lassen,BLM,Equipment Use
AQUEDUCT,34.77,-118.7538889,300,2003,10/13/2003,10/13/2003,CA,,MISSING/NOT SPECIFIED,Equipment Use
OKLAHOMA,41.99833333,-121.7027778,427,2003,9/29/2003,9/29/2003,CA,,FWS,Debris Burning
SPANISH,39.61666667,-122.8508333,6058,2003,9/28/2003,9/28/2003,CA,,USFS,Campfire
GORMAN,34.79527778,-118.8566667,305,2003,9/27/2003,9/28/2003,CA,,MISSING/NOT SPECIFIED,Equipment Use
PARADISE 2,36.47999,-118.75033,1297,2003,9/27/2003,12/15/2003,CA,,NPS,Lightning
KIBBIESUPP,38.0605,-119.8513,2771.9,2003,9/26/2003,10/16/2003,CA,,NPS,Lightning
MICHAELS,36.003,-117.9701,412,2003,9/15/2003,9/18/2003,CA,,PRIVATE,Arson
LOMA,40.76777778,-123.3191667,3740,2003,9/14/2003,9/22/2003,CA,,STATE OR PRIVATE,Miscellaneous
TIMBER,41.55055556,-121.3238889,313,2003,9/5/2003,9/9/2003,CA,,USFS,Lightning
YELLOW,41.73861111,-121.6133333,554,2003,9/5/2003,9/7/2003,CA,,USFS,Lightning
BRIDGE,34.16888889,-117.1827778,1352,2003,9/5/2003,9/14/2003,CA,,USFS,Miscellaneous
BEAR,39.57333333,-122.875,403,2003,9/4/2003,9/9/2003,CA,,USFS,Lightning
42,39.398681,-122.497739,400,2003,9/3/2003,9/5/2003,CA,Glenn,PRIVATE,Lightning
LNU MORGAN,38.8899,-122.4211,1465,2003,9/3/2003,9/6/2003,CA,Lake,BLM,Lightning
CANOE                    ,40.29,-123.94,11036,2003,9/3/2003,,CA,,MISSING/NOT SPECIFIED,Lightning
DEAFY,39.51138889,-122.7847222,4696,2003,9/3/2003,9/12/2003,CA,,USFS,Lightning
SNAKE,37.56777778,-119.19,412,2003,9/3/2003,11/20/2003,CA,,USFS,Lightning
HOOKER,36.08583333,-118.2002778,2241,2003,9/3/2003,11/25/2003,CA,,USFS,Lightning
FELKNER,39.51805556,-122.685,407,2003,9/3/2003,9/7/2003,CA,,USFS,Lightning
HAPPY CAMP,39.54055556,-122.7352778,1481,2003,9/3/2003,9/15/2003,CA,,USFS,Lightning
SITES                    ,39.24,-122.3119444,390,2003,9/3/2003,,CA,,MISSING/NOT SPECIFIED,Lightning
BOARDMAN,39.48777778,-122.9288889,510,2003,9/3/2003,9/8/2003,CA,,USFS,Lightning
LIGHTNING HONEYDEW4M,40.174369,-124.073169,13846,2003,9/3/2003,9/3/2003,CA,Humboldt,PRIVATE,Lightning
DEXTER,37.83138889,-118.795,2515,2003,9/2/2003,10/13/2003,CA,,USFS,Lightning
TUOLUMNE,37.8586,-119.7161,1600,2003,8/31/2003,,CA,,NPS,Lightning
MUDD,38.42472222,-119.9611111,4102,2003,8/31/2003,10/27/2003,CA,,USFS,Lightning
WHITT,38.37805556,-119.9997222,1014,2003,8/31/2003,10/27/2003,CA,,USFS,Lightning
COD FISH,39.06833333,-120.7113889,814,2003,8/31/2003,9/10/2003,CA,,USFS,Lightning
WILD,35.9163,-119.5201,320,2003,8/27/2003,8/27/2003,CA,,PRIVATE,Equipment Use
SUMMIT,36.21805556,-118.1313889,6721,2003,8/27/2003,12/31/2003,CA,,USFS,Lightning
COOPRSTOWN,37.7608,-120.526,2000,2003,8/26/2003,8/26/2003,CA,,BLM,Lightning
PITTSBURG                ,37.99111111,-121.9419444,300,2003,8/26/2003,,CA,,MISSING/NOT SPECIFIED,Equipment Use
LIGHTNING 23             ,37.71805555,-120.4911111,800,2003,8/26/2003,,CA,,MISSING/NOT SPECIFIED,Equipment Use
WHITEROCK                ,37.32388888,-120.0980556,640,2003,8/26/2003,,CA,,MISSING/NOT SPECIFIED,Lightning
SANTA CLARA COMPLEX,37,-121.5,30170,2003,8/25/2003,,CA,Santa Clara (See 44),STATE,Lightning
WEST KERN,36.361,-118.41916,7963,2003,8/21/2003,,CA,,NPS,Lightning
PLUS                     ,37.09305555,-121.5930556,500,2003,8/20/2003,,CA,,MISSING/NOT SPECIFIED,Equipment Use
LOCAL                    ,34.02611111,-117.165,300,2003,8/18/2003,,CA,,MISSING/NOT SPECIFIED,Arson
LOCUST                   ,33.98305555,-117.1638889,1898,2003,8/18/2003,,CA,,MISSING/NOT SPECIFIED,Equipment Use
DEL VENTURI,36.07111111,-121.39,861,2003,8/11/2003,8/13/2003,CA,,MISSING/NOT SPECIFIED,Miscellaneous
CHIMNEY INCIDENT,35.114119,-120.000881,1500,2003,8/10/2003,8/11/2003,CA,San Luis Obispo,USFS,Equipment Use
MIDDLE,34.3,-118.3344444,300,2003,8/7/2003,8/8/2003,CA,,STATE OR PRIVATE,Equipment Use
HOOVER                   ,37.21111111,-121.3830556,2000,2003,8/4/2003,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
COONEY,36.34361111,-118.5369444,1850,2003,8/1/2003,12/15/2003,CA,,USFS,Lightning
BARBER,41.2616,-120.0811,1330,2003,7/31/2003,8/4/2003,CA,Modoc,BLM,Lightning
WHISKEY,37.8497,-119.6053,1225,2003,7/31/2003,,CA,,NPS,Lightning
CHINA,35.56222222,-118.65,509,2003,7/30/2003,8/1/2003,CA,,USFS,Lightning
SOK,38.0606,-119.8664,5524.8,2003,7/29/2003,,CA,,NPS,Lightning
WILLIAMS,36.71499,-118.69571,3471,2003,7/28/2003,,CA,,NPS,Lightning
ACKLEY,41.75305556,-121.3238889,9940,2003,7/26/2003,7/30/2003,CA,,USFS,Lightning
RIVER                    ,36.85888888,-120.1919444,300,2003,7/25/2003,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
CANYON,33.79444444,-116.8944444,4300,2003,7/25/2003,7/27/2003,CA,,MISSING/NOT SPECIFIED,Arson
HAUSER,34.55,-118.3083333,2038,2003,7/24/2003,7/30/2003,CA,,USFS,Miscellaneous
BASIN,35.4327,-118.4226,1117,2003,7/23/2003,7/30/2003,CA,,PRIVATE,Arson
LOCAL                    ,33.925,-116.8861111,2020,2003,7/22/2003,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
SHINN,40.5749,-120.2344,474,2003,7/22/2003,7/25/2003,CA,Lassen,BLM,Lightning
ELK GROVE 1,38.38,-121.48,422,2003,7/22/2003,7/22/2003,CA,,STATE,Miscellaneous
MERCURY,35.200556,-118.518611,340,2003,7/21/2003,7/22/2003,CA,KERN,MISSING/NOT SPECIFIED,Missing/Undefined
SMOKE,40.6899,-120.006,7790,2003,7/21/2003,7/28/2003,CA,Lassen,BLM,Lightning
CHILCOOT COMPLEX,39.76916667,-120.1602778,5635,2003,7/20/2003,7/21/2003,CA,63,OTHER FEDERAL,Lightning
BOX,38.12694444,-119.8938889,1031,2003,7/20/2003,12/31/2003,CA,,USFS,Lightning
PARKHILL                 ,35.38888888,-120.4461111,1200,2003,7/20/2003,,CA,,MISSING/NOT SPECIFIED,Equipment Use
MOUNTAIN,38.13111111,-119.8863889,3090,2003,7/20/2003,12/31/2003,CA,,USFS,Lightning
DELPUERTO,37.4497,-121.4174,5018,2003,7/20/2003,7/24/2003,CA,,BLM,Lightning
LIGHTNING,35.00583333,-114.6605556,2180,2003,7/16/2003,7/17/2003,CA,,FWS,Lightning
COYOTE,33.4328,-116.7453,19575.8,2003,7/16/2003,7/25/2003,CA,Riverside,BLM,Lightning
HILLSIDE,35.168056,-118.468056,835,2003,7/15/2003,7/17/2003,CA,KERN,MISSING/NOT SPECIFIED,Missing/Undefined
GREIG                    ,37.60194444,-120.5269444,420,2003,7/13/2003,,CA,,MISSING/NOT SPECIFIED,Equipment Use
COOPERSTOWN #2           ,37.68805555,-120.4719444,396,2003,7/12/2003,,CA,,MISSING/NOT SPECIFIED,Equipment Use
155,35.701944,-118.868611,457,2003,7/11/2003,7/11/2003,CA,KERN,MISSING/NOT SPECIFIED,Missing/Undefined
NORTH FORK               ,37.22,-119.5538889,360,2003,7/8/2003,,CA,,MISSING/NOT SPECIFIED,Equipment Use
WOODLOT,37.67194444,-119.7919444,458,2003,7/8/2003,,CA,,OTHER FEDERAL,Miscellaneous
FRAZIER                  ,36.11694444,-118.92,699,2003,7/8/2003,,CA,,MISSING/NOT SPECIFIED,Equipment Use
STAGE,33.617222,-116.967222,1621,2003,7/4/2003,7/6/2003,CA,Riverside,STATE,Missing/Undefined
STATE FIRE               ,33.66305555,-117.2838889,850,2003,7/3/2003,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
HUNTER,37.6169,-120.2174,681,2003,7/3/2003,7/3/2003,CA,,BLM,Equipment Use
VALLEY,36.015,-118.8178,425,2003,7/3/2003,7/4/2003,CA,,BIA,Arson
LMU A3,40.2982,-120.4594,1113,2003,7/2/2003,7/4/2003,CA,Lassen,PRIVATE,Equipment Use
DAIN                     ,36.80305555,-121.4269444,500,2003,7/2/2003,,CA,,MISSING/NOT SPECIFIED,Equipment Use
HWY 25                   ,36.91888888,-121.445,360,2003,7/2/2003,,CA,,MISSING/NOT SPECIFIED,Equipment Use
FOURTY                   ,38.91611111,-122.31,300,2003,7/1/2003,,CA,,MISSING/NOT SPECIFIED,Equipment Use
I-5                      ,36.875,-120.9911111,1000,2003,6/30/2003,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
TEJON,34.871389,-118.882778,1155,2003,6/29/2003,7/2/2003,CA,Kern,MISSING/NOT SPECIFIED,Missing/Undefined
FRIDAY,40.89,-123.6013889,389,2003,6/29/2003,7/3/2003,CA,,STATE OR PRIVATE,Equipment Use
CAPAY                    ,38.73,-122.145,400,2003,6/29/2003,,CA,,MISSING/NOT SPECIFIED,Smoking
CHIMNEY,36.0153,-118.8244,565,2003,6/28/2003,6/29/2003,CA,,BIA,Arson
SAWMILL,35.6816,-118.579,536,2003,6/26/2003,6/29/2003,CA,,PRIVATE,Children
HWY 70                   ,39.45888888,-121.585,368,2003,6/24/2003,,CA,,MISSING/NOT SPECIFIED,Equipment Use
NATURE,39.90527778,-122.0205556,610,2003,6/23/2003,6/23/2003,CA,,OTHER FEDERAL,Miscellaneous
26 FIRE                  ,37.12,-120.0661111,700,2003,6/23/2003,,CA,,MISSING/NOT SPECIFIED,Equipment Use
CALIENTE FIRE,35.305144,-118.666681,1223,2003,6/16/2003,6/16/2003,CA,Kern,PRIVATE,Miscellaneous
152,37.07888888,-121.2080556,1558,2003,6/15/2003,,CA,,MISSING/NOT SPECIFIED,Equipment Use
GYLE                     ,39.99388888,-122.225,300,2003,6/10/2003,,CA,,MISSING/NOT SPECIFIED,Equipment Use
SHALLOCK,35.972222,-119.077778,564,2003,6/6/2003,6/6/2003,CA,KERN,MISSING/NOT SPECIFIED,Missing/Undefined
165,37.183,-120.783,300,2003,6/5/2003,6/6/2003,CA,,FWS,Miscellaneous
BIRD                     ,37.60194444,-121.37,6804,2003,6/1/2003,,CA,,MISSING/NOT SPECIFIED,Equipment Use
DEL PUERTO CYN.          ,37.42694444,-121.3788889,597,2003,5/29/2003,,CA,,MISSING/NOT SPECIFIED,Debris Burning
FKU6009                  ,36.65611111,-119.7638889,1000,2003,5/28/2003,,CA,,MISSING/NOT SPECIFIED,Smoking
NEW IDRIA,36.5377,-120.8349,628,2003,5/18/2003,5/19/2003,CA,,BLM,Miscellaneous
LUNDY,38.051,-119.2954,739.8,2003,4/24/2003,4/26/2003,CA,,BLM,Miscellaneous
LOCAL                    ,33.67805555,-116.2080556,12000,2003,2/23/2003,,CA,,MISSING/NOT SPECIFIED,Debris Burning
PACIFIC,34.0417,-118.8509,772,2003,1/6/2003,1/7/2003,CA,,PRIVATE,Powerline
PINE,38.872222,-122.961111,1200,2002,11/26/2002,11/30/2002,CA,Mendocino,STATE,Missing/Undefined
GRANITE II,39.45138889,-120.6866667,352,2002,11/25/2002,11/26/2002,CA,,STATE OR PRIVATE,Debris Burning
HUNTER.,38.88416667,-120.4666667,2400,2002,11/25/2002,11/25/2002,CA,,STATE OR PRIVATE,Debris Burning
PLUM,38.71916667,-120.3841667,1763,2002,11/25/2002,12/2/2002,CA,,STATE OR PRIVATE,Debris Burning
SOURGRASS COMPLEX,38.34166667,-120.2183333,808,2002,11/25/2002,12/1/2002,CA,,USFS,Debris Burning
ROCK CREEK 2,37.29055556,-119.3697222,378,2002,11/25/2002,12/1/2002,CA,,USFS,Debris Burning
BLUE GUM,33.9,-117.775,477,2002,11/20/2002,,CA,Orange,MISSING/NOT SPECIFIED,Missing/Undefined
36,40.22194444,-121.7161111,300,2002,10/1/2002,,CA,,MISSING/NOT SPECIFIED,Equipment Use
SIXTEEN                  ,38.90194444,-122.255,1500,2002,10/1/2002,,CA,,MISSING/NOT SPECIFIED,Equipment Use
LNU 16,38.9049,-122.2544,693,2002,10/1/2002,10/3/2002,CA,Yolo,BLM,Miscellaneous
CONE,40.75944444,-121.1822222,2006,2002,9/26/2002,9/30/2002,CA,,USFS,Equipment Use
PAIUTE,37.52416667,-118.2611111,391,2002,9/24/2002,10/2/2002,CA,,USFS,Miscellaneous
CROY,37.091,-121.774939,3127,2002,9/23/2002,10/11/2002,CA,Santa Clara,PRIVATE,Equipment Use
WILLIAMS,34.23027778,-117.7875,37240,2002,9/22/2002,10/10/2002,CA,,USFS,Arson
BURNS,39.688561,-123.542039,485,2002,9/19/2002,9/25/2002,CA,Mendocino,PRIVATE,Equipment Use
SIERRA,38.800556,-121.233889,594,2002,9/18/2002,9/22/2002,CA,PLACER,STATE,Missing/Undefined
OASIS,34.44055556,-118.3030556,1305,2002,9/14/2002,9/14/2002,CA,,MISSING/NOT SPECIFIED,Equipment Use
MOUNTAIN,34.267778,-117.835556,771,2002,9/9/2002,9/12/2002,CA,LAC,MISSING/NOT SPECIFIED,Missing/Undefined
LEONA,34.58638889,-118.3252778,5124,2002,9/3/2002,9/4/2002,CA,,USFS,Arson
SQUIRREL,40.618611,-121.883611,575,2002,9/3/2002,9/10/2002,CA,SHASTA,STATE,Missing/Undefined
POST,34.53166667,-118.6363889,1043,2002,9/1/2002,9/3/2002,CA,,MISSING/NOT SPECIFIED,Equipment Use
CURVE,34.267778,-117.835556,20857,2002,9/1/2002,,CA,LOS ANGELES,MISSING/NOT SPECIFIED,Missing/Undefined
HICKOCK,38.7185,-121.0274,776,2002,8/31/2002,9/3/2002,CA,,PRIVATE,Children
LYTLE,34.2175,-117.4677778,554,2002,8/29/2002,9/15/2002,CA,,USFS,Arson
PALISADE,37.05326,-118.53664,1497,2002,8/26/2002,,CA,,NPS,Lightning
BOBCAT,32.71,-116.5508333,379,2002,8/24/2002,8/24/2002,CA,,USFS,Miscellaneous
RED HILL,35.35944444,-120.2769444,715,2002,8/17/2002,8/21/2002,CA,,USFS,Miscellaneous
SUPPLY13,41.0499,-123.6845,410,2002,8/14/2002,8/28/2002,CA,,BIA,Arson
PASS,33.9508,-116.8845,2620,2002,8/11/2002,8/12/2002,CA,,BIA,Miscellaneous
BRYANT,33.985556,-117.018056,500,2002,8/11/2002,8/14/2002,CA,Riverside,STATE,Missing/Undefined
POPE,38.658169,-122.34485,800,2002,8/9/2002,8/10/2002,CA,Napa,BLM,Equipment Use
VASCO                    ,37.67194444,-121.7238889,549,2002,8/5/2002,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
PINES,33.1025,-116.5736111,61690,2002,7/29/2002,8/22/2002,CA,73,STATE OR PRIVATE,Miscellaneous
SHELLEY,41.88027778,-123.8394444,850,2002,7/28/2002,8/2/2002,CA,,USFS,Miscellaneous
SILVER  2,38.5952,-119.6116,600,2002,7/27/2002,8/2/2002,CA,Alpine,BLM,Lightning
ST. PAULI,38.76777778,-120.4333333,325,2002,7/26/2002,7/30/2002,CA,,STATE OR PRIVATE,Miscellaneous
STANZA,41.66805556,-123.2966667,2880,2002,7/22/2002,8/5/2002,CA,,USFS,Lightning
MCNALLY,35.87361111,-118.4580556,150696,2002,7/21/2002,8/28/2002,CA,,USFS,Campfire
DEER,35.5947,-118.4926,1800,2002,7/21/2002,7/25/2002,CA,,PRIVATE,Children
HWY 58,35.432661,-120.549619,1380,2002,7/18/2002,7/22/2002,CA,San Luis Obispo,PRIVATE,Arson
GARNET                   ,32.90888888,-116.4388889,789,2002,7/13/2002,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
MUSSOLINI,41.4675,-122.4841667,3260,2002,7/13/2002,7/19/2002,CA,,STATE OR PRIVATE,Equipment Use
RUSH,40.6359,-120.13124,5015,2002,7/13/2002,7/17/2002,CA,Lassen,BLM,Lightning
SLINKARD,38.6471,-119.5982,8600,2002,7/13/2002,7/18/2002,CA,Mono,BLM,Lightning
GATE,38.5232,-119.5293,364,2002,7/12/2002,7/18/2002,CA,Mono,USFS,Lightning
WILDHORSE,35.14169,-115.49253,650,2002,7/12/2002,7/14/2002,CA,,NPS,Lightning
BLACK,40.61846,-120.54689,1510,2002,7/12/2002,7/16/2002,CA,Lassen,BLM,Lightning
PAN,38.39805556,-119.2216667,506,2002,7/12/2002,7/16/2002,CA,,USFS,Lightning
FULLER,37.05805556,-118.3686111,6400,2002,7/11/2002,7/16/2002,CA,,USFS,Lightning
WOLF,37.871,-119.6791,2108,2002,7/11/2002,,CA,,NPS,Lightning
SULPHUR SPRINGS,36.016944,-121.219167,2500,2002,7/10/2002,7/10/2002,CA,Monterey,USFS,Missing/Undefined
PLACERITA,34.37305556,-118.4980556,325,2002,7/8/2002,7/9/2002,CA,,MISSING/NOT SPECIFIED,Equipment Use
SAC AB,39.44944444,-122.1588889,750,2002,7/8/2002,7/15/2002,CA,,FWS,Equipment Use
COTTONWOOD               ,37.07888888,-121.2080556,1000,2002,7/4/2002,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
GONDOLA,38.93416667,-119.9313889,673,2002,7/3/2002,7/10/2002,CA,17,STATE OR PRIVATE,Smoking
BIRCH,37.51861111,-118.6358333,2624,2002,7/1/2002,7/3/2002,CA,,USFS,Miscellaneous
600,37.06194444,-120.0288889,448,2002,6/27/2002,,CA,,MISSING/NOT SPECIFIED,Equipment Use
GRANITE 2,35.66916667,-118.7188889,500,2002,6/26/2002,6/26/2002,CA,,MISSING/NOT SPECIFIED,Debris Burning
LOUISIANA,34.23611111,-117.4319444,6559,2002,6/26/2002,7/4/2002,CA,,USFS,Equipment Use
STAGE,35.885833,-118.883333,1300,2002,6/22/2002,6/22/2002,CA,TULARE,STATE,Missing/Undefined
TROY,32.8278,-116.4008,745,2002,6/19/2002,6/23/2002,CA,,BIA,Miscellaneous
BOX,37.06213598,-120.7169229,300,2002,6/19/2002,6/19/2002,CA,,OTHER FEDERAL,Smoking
PINEY,36.27916667,-121.4630556,308,2002,6/19/2002,6/20/2002,CA,,USFS,Campfire
VIEUX                    ,37.68611111,-121.5588889,1029,2002,6/18/2002,,CA,,MISSING/NOT SPECIFIED,Equipment Use
COPCO,34.75777778,-118.795,1465,2002,6/18/2002,6/22/2002,CA,,MISSING/NOT SPECIFIED,Arson
MIAS,33.59,-116.5408,565,2002,6/18/2002,6/21/2002,CA,,BIA,Miscellaneous
MEYERS,33.98333333,-116.8666667,363,2002,6/18/2002,6/19/2002,CA,,MISSING/NOT SPECIFIED,Arson
BLUE CUT,34.24305556,-117.4080556,6864,2002,6/16/2002,6/26/2002,CA,,USFS,Arson
CANNON,38.45611111,-119.5455556,23020,2002,6/15/2002,7/19/2002,CA,,USFS,Campfire
BOREL,35.5947,-118.5284,3416,2002,6/15/2002,6/25/2002,CA,,USFS,Campfire
SUDDEN RANCH,34.559167,-120.526667,7782,2002,6/15/2002,,CA,Santa Barbara,USFS,Missing/Undefined
STATE OF CA #24,35.88484386,-119.3129557,641,2002,6/14/2002,6/14/2002,CA,,OTHER FEDERAL,Equipment Use
FIELD,39.2296,-121.3075,1100,2002,6/9/2002,6/11/2002,CA,,PRIVATE,Powerline
FORKS,41.275,-123.3416667,1301,2002,6/9/2002,6/10/2002,CA,,STATE OR PRIVATE,Debris Burning
DAVIS,35.703056,-120.25,2118,2002,6/9/2002,6/10/2002,CA,San Luis Obispo,STATE,Missing/Undefined
PONY,38.451389,-121.041389,720,2002,6/9/2002,6/11/2002,CA,SACRAMENTO/AMADOR,STATE,Missing/Undefined
AERA,36.24565,-120.346289,400,2002,6/9/2002,6/10/2002,CA,Fresno,PRIVATE,Equipment Use
TWIN                     ,38.35805555,-121.085,300,2002,6/8/2002,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
SKYWAY                   ,39.705,-121.7219444,2000,2002,6/8/2002,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
COPPER,34.48111111,-118.5527778,23407,2002,6/5/2002,6/8/2002,CA,,MISSING/NOT SPECIFIED,Miscellaneous
ROCKY,35.46861111,-118.7508333,498,2002,6/2/2002,6/4/2002,CA,,USFS,Miscellaneous
BEE,33.75,-116.8291667,430,2002,6/2/2002,6/3/2002,CA,,USFS,Miscellaneous
WOLF,34.60916667,-119.3641667,21645,2002,6/1/2002,6/14/2002,CA,,STATE OR PRIVATE,Miscellaneous
ARROWHEAD,34.2,-117.285,2688,2002,5/31/2002,6/7/2002,CA,SAN BERNARDINO,USFS,Missing/Undefined
ANTONIO,33.591667,-117.616667,1472,2002,5/13/2002,5/15/2002,CA,ORANGE,COUNTY,Missing/Undefined
MATEO,33.43777778,-117.4583333,1000,2002,5/13/2002,5/14/2002,CA,,MISSING/NOT SPECIFIED,Miscellaneous
BOUQUET,34.57138889,-118.3977778,5200,2002,5/11/2002,5/13/2002,CA,,USFS,Miscellaneous
TIVY,36.7675,-119.383333,600,2002,5/9/2002,5/10/2002,CA,Fresno,STATE,Missing/Undefined
EVENING,33.869167,-117.683611,892,2002,4/21/2002,4/23/2002,CA,Orange / Riverside,STATE,Missing/Undefined
AIRPORT,37.368333,-118.358333,840,2002,3/22/2002,3/25/2002,CA,Inyo,STATE,Missing/Undefined
ALISO,33.441667,-117.394444,2400,2002,3/21/2002,3/22/2002,CA,San Diego,STATE,Missing/Undefined
CAJALCO FIRE             ,33.82194444,-117.5280556,575,2002,3/17/2002,,CA,,MISSING/NOT SPECIFIED,Equipment Use
GAVILAN                  ,33.40888888,-117.2188889,5763,2002,2/10/2002,,CA,,MISSING/NOT SPECIFIED,Debris Burning
GREEN,33.86416667,-117.6658333,2400,2002,2/9/2002,2/15/2002,CA,,MISSING/NOT SPECIFIED,Miscellaneous
BELL,32.61666667,-116.6166667,1200,2001,12/8/2001,12/9/2001,CA,,PRIVATE,Miscellaneous
CRANE                    ,37.41194444,-120.53,330,2001,11/2/2001,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
MOORE,38.46722222,-120.2666667,600,2001,10/27/2001,10/31/2001,CA,,USFS,Miscellaneous
70,39.833611,-121.4175,1711,2001,10/24/2001,10/29/2001,CA,BUTTE,STATE,Missing/Undefined
STABLES,34.49055556,-118.4563889,6540,2001,10/12/2001,10/18/2001,CA,,USFS,Miscellaneous
SWILLUP II,41.60583333,-123.5116667,8055,2001,9/15/2001,10/30/2001,CA,,USFS,Lightning
POE,39.691667,-121.458333,8333,2001,9/6/2001,,CA,Butte,STATE,Missing/Undefined
DARBY,38.13555556,-120.3675,14280,2001,9/5/2001,9/24/2001,CA,,USFS,Miscellaneous
TAR,36.4185,-118.67104,508,2001,9/4/2001,,CA,,NPS,Lightning
HYAMPOM,40.56777778,-123.2347222,1065,2001,8/31/2001,9/3/2001,CA,,STATE OR PRIVATE,Arson
OREGON,40.75,-122.9666667,1680,2001,8/28/2001,9/2/2001,CA,,USFS,Miscellaneous
PONDEROSA,39.0632,-120.8266,2688,2001,8/27/2001,8/30/2001,CA,,PRIVATE,Equipment Use
SLOAN,34.49222222,-118.6530556,2500,2001,8/27/2001,8/27/2001,CA,,MISSING/NOT SPECIFIED,Miscellaneous
STAR,39.05,-120.5186111,16761,2001,8/25/2001,8/25/2001,CA,,STATE OR PRIVATE,Miscellaneous
NORTH FORK,37.25111111,-119.5011111,4132,2001,8/20/2001,9/3/2001,CA,,MISSING/NOT SPECIFIED,Equipment Use
HIGHWAY,36.75023,-119.0865,4152,2001,8/19/2001,8/31/2001,CA,,USFS,Miscellaneous
LEONARD,38.2252,-120.6805,6800,2001,8/18/2001,9/1/2001,CA,,PRIVATE,Equipment Use
CREEK,37.7463,-120.2513,11185,2001,8/18/2001,9/4/2001,CA,,BLM,Arson
MUSIC,37.19,-119.2977778,300,2001,8/17/2001,8/21/2001,CA,,USFS,Miscellaneous
OROSCO,33.10138889,-116.8858333,813,2001,8/14/2001,8/15/2001,CA,,MISSING/NOT SPECIFIED,Miscellaneous
